Company DBA Name,Legal Name,Status,Source,Type,Address Line 1,Address Line 2,City,County,State,Country,Postal Code,Phone Type,Phone Country Code,Phone Area Code,Phone Number,Phone Extension,Electronic Content Type,Electronic Content Label,Electronic Content,First Name,Last Name,Contact Title,No Of Employees,Primary SIC,Total Sales,Sales Volume Range
"Innov8 Sports, Llc","Innov8 Sports, Llc",Live,YourOffice,Mailing,123 W. Main Street,,Plainfield,,IN,USA,56158,Work,1,211,5555555,,E-Mail,Work,david@corner.com,David,M,Manager,20,5661,200000,60000
Interior Store,Interior Store,Live,YourOffice,Mailing,P.o. Box 3364,,Decatur,,GA,USA,21021,Work,1,711,6666666,,E-Mail,Work,sanford@bell.net,Christie,Sanford,Manager,20,5661,200000,70000
Pizza Grill,Pizza Grill,Live,PCA,Mailing,1113 Main St Apt 1,,Oxnard,,CA,USA,90403,Work,1,311,7777777,,E-Mail,Work,user@aol.com,User,,Manager,50,5661,200000,75000
Woods,Woods,Live,YourOffice,Mailing,123 S Main St,,Littleton,,CO,USA,80123,Work,1,511,8888888,,E-Mail,Work,web@aol.com,Swanyeb,K,Manager,75,5661,200000,50000
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a sample import file which provides an example of the expected contents of a file that is ready for import.,,,,,,,,,,,,,,,,,,,,,,,,,,
"The file is a comma-delimited .csv file, using double-quotes as the field qualifier.",,,,,,,,,,,,,,,,,,,,,,,,,,
The header row is the top-most row in the file and contains the field labels as you would see them in the application.,,,,,,,,,,,,,,,,,,,,,,,,,,
These labels are used for mapping the data in the file to the fields in the application.,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: The database names could also be used in the header row. This is useful when you are using phpMyAdmin or another database tool to provide an exported list of data to import.,,,,,,,,,,,,,,,,,,,,,,,,,,
The column order is not critical as the import process matches the data to the appropriate fields based on the header row.,,,,,,,,,,,,,,,,,,,,,,,,,,
"To use this file as a template, do the following:",,,,,,,,,,,,,,,,,,,,,,,,,,
1. Remove the sample rows of data,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Remove the help text that you are reading right now,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Input your own data into the appropriate rows and columns,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Save the file to a known location on your system,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Click on the Import option from the Actions menu in the application and choose the file to upload,,,,,,,,,,,,,,,,,,,,,,,,,,
