Client Type,Status,Source,Category,Responsibility,Account Manager,Partner,Salutation,First Name,Middle Name,Last Name,Company Name,Department,Industry,Sic Code,No Of Employees,Credit Score,Annual Sales Min,Annual Sales Max,Sales Transaction Avg,Address Type,Address Line 1,City,County,State,Country,Zip Code,Phone Type_1,Phone Number_1,Phone Extension_1,Phone Type_2,Phone Number_2,Phone Extension_2,eAddress Label_1,eAddress_1,eAddress Label_2,eAddress_2
VoIP,Dead,YourOffice,Active,David,Enrique,yourco.com,,Mark,,David,"Corner Bookstore, Inc.",,,,0,,,50000,,Location,123 W. Main Street,Plainfield,,IN,USA,56158,Work,8375640522,,Cell,5555640122,,Work,user@corner.com,Home,Steve@corner.com
Processing,Dead,YourOffice,HOT,David,Enrique,yourco.com,,Christie,,Sanford,Cleaning Service,,,,0,,,150000,,Location,P.o. Box 3364,Decatur,,GA,USA,21021,Work,4733228154,,Cell,5553228144,,Work,user@bellsouth.net,Home,user2@bellsouth.net
Processing,Dead,PCA,Cool,Filepe,Veronica,yourco.com,,Jack,,,Fried Chicken,,,,0,,,25000,,Location,1113 Main St Apt 1,Oxnard,,CA,USA,90403,Work,9985555556,,Home,5555315556,,Work,USER@AOL.COM,Home,USER2@AOL.COM
VoIP,Dead,PCA,Not Active,Filepe,Veronica,yourco.com,,Kevin,,Swaney,Cafe -- Littleton,,,,0,,,0,,Location,123 S Main St,Littleton,,CO,USA,80123,Work,5521136455,,Fax,5521135455,,Work,userb@aol.com,Home,userb@aol.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a sample import file which provides an example of the expected contents of a file that is ready for import.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The file is a comma-delimited .csv file, using double-quotes as the field qualifier.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The header row is the top-most row in the file and contains the field labels as you would see them in the application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
These labels are used for mapping the data in the file to the fields in the application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: The database names could also be used in the header row. This is useful when you are using phpMyAdmin or another database tool to provide an exported list of data to import.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The column order is not critical as the import process matches the data to the appropriate fields based on the header row.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To use this file as a template, do the following:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Remove the sample rows of data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Remove the help text that you are reading right now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Input your own data into the appropriate rows and columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Save the file to a known location on your system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Click on the Import option from the Actions menu in the application and choose the file to upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
